# h	k	l			DE/EP	Eback-scattering (eV)					
6	-6	0	72		2.36437686262886E-06	9685.6047382433
-6	6	0	72		2.36437686262886E-06	9685.6047382433
-6	-6	0	72		2.36437686262886E-06	9685.6047382433
8	2	2	72		2.36437686262886E-06	9685.6047382433
8	2	-2	72		2.36437686262886E-06	9685.6047382433
8	-2	2	72		2.36437686262886E-06	9685.6047382433
8	-2	-2	72		2.36437686262886E-06	9685.6047382433
-8	2	2	72		2.36437686262886E-06	9685.6047382433
-8	2	-2	72		2.36437686262886E-06	9685.6047382433
-8	-2	2	72		2.36437686262886E-06	9685.6047382433
-8	-2	-2	72		2.36437686262886E-06	9685.6047382433
1	5	7	75		1.54777688774312E-06	9885.3289412413
1	5	-7	75		1.54777688774312E-06	9885.3289412413
1	-5	7	75		1.54777688774312E-06	9885.3289412413
1	-5	-7	75		1.54777688774312E-06	9885.3289412413
-1	5	7	75		1.54777688774312E-06	9885.3289412413
-1	5	-7	75		1.54777688774312E-06	9885.3289412413
-1	-5	7	75		1.54777688774312E-06	9885.3289412413
-1	-5	-7	75		1.54777688774312E-06	9885.3289412413
1	7	5	75		1.54777688774312E-06	9885.3289412413
1	7	-5	75		1.54777688774312E-06	9885.3289412413
1	-7	5	75		1.54777688774312E-06	9885.3289412413
1	-7	-5	75		1.54777688774312E-06	9885.3289412413
-1	7	5	75		1.54777688774312E-06	9885.3289412413
